year,occ_desc,mthly_gross_wage_75_pctile,mthly_gross_wage_50_pctile,mthly_gross_wage_25_pctile,mthly_basic_wage_75_pctile,mthly_basic_wage_50_pctile,mthly_basic_wage_25_pctile
2024,obstetrician/gynaecologist,7002,5965,4741,6483,5450,4698
2024,occupational health and safety inspector,6775,5403,3926,6500,5124,3757
2024,occupational health and safety professional,7313,5000,3263,7042,4867,3250
2024,occupational therapist,6488,4933,4085,6440,4923,4085
2024,odd job person,1800,1600,1600,1800,1600,1500
2024,office clerk (including filing and copying),3050,1822,1420,3000,1800,1400
2024,office supervisor,5000,3743,2836,4630,3486,2565
2024,"office, commercial and industrial establishments indoor cleaner",1801,1641,1440,1750,1600,1400
2024,"office, commercial and industrial establishments multi-skilled cleaner cum machine operator",2873,2270,1908,2270,2010,1672
2024,"office, commercial and industrial establishments outdoor cleaner",2125,1942,1753,2060,1800,1668
2024,office/library attendant,3080,2118,1600,3020,2099,1600
2024,oil and bunker trader,20000,14896,8610,20000,14729,8610
2024,online sales channel executive,4500,3500,2881,4360,3500,2870
2024,online sales channel manager,12500,7614,5731,12203,7483,5701
2024,operations officer (except transport operations),4880,3970,3200,4644,3800,3000
2024,operations research analyst,9530,6352,4760,9400,6200,4656
2024,ophthalmologist,10257,6804,6205,9227,6289,5718
2024,optician,5091,4357,4098,4415,3806,3413
2024,optometrist,6191,5241,4342,6083,5113,4100
2024,orthopaedic surgeon,6539,5836,5580,6011,5419,5050
2024,"otorhinolaryngologist/ear, nose, throat (ent) specialist",9707,6624,6097,8677,6138,5719
2024,packing/bottling/labelling machine operator,3020,2101,1600,1951,1614,1397
2024,paediatrician,6752,5789,4530,6225,5274,4500
2024,paramedic,3984,2954,1871,3863,2600,1871
2024,parking valet,2800,2372,2000,2500,2300,1970
2024,passenger services agent,3544,2570,1500,3141,2071,1150
2024,pastry and confectionery maker,3236,2413,1500,3171,2389,1470
2024,pastry chef,4600,3034,2503,4500,3000,2420
2024,pawnbroker,6471,5192,4638,6410,5159,4638
2024,payroll/wages clerk,5950,4256,3000,5600,4017,2880
2024,personnel/human resource clerk,4183,2950,1740,4062,2821,1644
2024,personnel/human resource manager,12919,8197,5777,12650,8082,5709
2024,personnel/human resource officer,4605,4000,3370,4580,3930,3300
2024,petrol station attendant,3453,2165,1870,2649,2105,1752
2024,pharmacist (patient care),7346,5466,4504,7328,5448,4450
2024,pharmacologist,13118,6706,4313,13118,6706,4313
2024,pharmacy technician,4119,3240,2654,4095,3225,2636
2024,photographer,8651,5120,3495,8618,5110,3495
2024,physical fitness instructor (including yoga instructor and aerobics instructor),3350,2550,2400,2600,2400,2100
2024,physiotherapist,6200,4814,4235,6153,4809,4231
